step,loss
115,0.1081
217,0.0349
234,0.0349
240,0.0349
342,0.0284
444,0.0258
546,0.0241
634,0.0235
734,0.0222
836,0.0221
938,0.0208
1034,0.0207
1126,0.0203
1228,0.0204
1330,0.02
1432,0.0199
1434,0.0199
1518,0.019
1620,0.0198
1722,0.0193
1824,0.019
1834,0.019
1910,0.0191
2012,0.0192
2114,0.0189
2216,0.0188
2234,0.0188
2319,0.019
2345,0.019
2422,0.0188
2524,0.0184
2626,0.0182
2728,0.0183
2745,0.0183
2814,0.0183
2916,0.0184
3018,0.0186
3120,0.0185
3145,0.0185
3206,0.0184
3308,0.0184
3410,0.0184
3512,0.0183
3545,0.0183
3598,0.0183
3700,0.018
3802,0.0176
3904,0.0179
3945,0.0179
3990,0.0179
4092,0.0179
4194,0.0179
4296,0.0174
4345,0.0179
4382,0.0179
4484,0.0173
4586,0.0172
4688,0.0178
4745,0.0173
4833,0.0174
4935,0.0178
4999,0.0174
5143,0.0177
5223,0.0175
5325,0.0175
5427,0.0174
5529,0.0177
5543,0.0177
5615,0.0171
5717,0.0174
5819,0.0174
5921,0.0169
5943,0.0169
5948,0.0169
5978,0.0169
6077,0.0171
6179,0.0174
6281,0.0173
6378,0.0166
6469,0.0173
6571,0.0174
6673,0.0174
6775,0.0168
6778,0.0168
6861,0.0173
6963,0.0177
7065,0.017
7167,0.0172
7178,0.0172
7253,0.0174
7355,0.0169
7457,0.0171
7559,0.0167
7578,0.0167
7645,0.0164
7747,0.0169
7849,0.0171
7951,0.0173
7978,0.0173
8037,0.0174
8139,0.0171
8241,0.0166
8343,0.017
8378,0.017
8429,0.0169
8531,0.017
8633,0.0173
8735,0.0169
8778,0.0169
8821,0.0169
8923,0.0171
9025,0.0169
9127,0.0172
9178,0.0172
9213,0.0166
9315,0.0167
9417,0.0168
9519,0.0166
9578,0.0166
9605,0.0166
9707,0.0171
9809,0.0169
9911,0.0169
9978,0.0169
9999,0.0161
10000,0.0161
10075,0.0161
10090,0.0161
10192,0.0169
10294,0.0166
10396,0.0167
10475,0.0165
10482,0.0165
10584,0.0168
10686,0.0168
10788,0.0167
10875,0.0165
10976,0.0168
11078,0.0171
11180,0.017
11275,0.0168
11368,0.0166
11470,0.0167
11572,0.0166
11674,0.0168
11675,0.0168
11760,0.0165
11862,0.1363
11964,0.058
12066,0.028
12075,0.028
12152,0.0227
12254,0.02
12356,0.0194
12458,0.0186
12475,0.0186
12544,0.0176
12646,0.0179
12748,0.0178
12850,0.0173
12875,0.0173
12936,0.0173
13038,0.0173
13140,0.0172
13242,0.018
13275,0.018
13328,0.0171
13430,0.0172
13532,0.0171
13634,0.0165
13675,0.0165
13729,0.0169
13778,0.0169
13824,0.0168
13926,0.0166
14028,0.0167
14130,0.0172
14178,0.0172
14216,0.0172
14318,0.0171
14420,0.0163
14522,0.0168
14578,0.0168
14608,0.0171
14710,0.0167
14812,0.0165
14914,0.0168
14978,0.0168
14999,0.0169
15100,0.0162
15202,0.0167
15304,0.0165
15376,0.0165
15389,0.0165
15491,0.0163
15593,0.0169
15695,0.0166
15776,0.0166
15781,0.0166
15883,0.0163
15985,0.0166
16087,0.0162
16176,0.0166
16275,0.0165
16377,0.0168
16479,0.0166
16576,0.0165
16667,0.0166
16769,0.0164
16871,0.0163
16973,0.0163
16976,0.0163
17059,0.0164
17161,0.0162
17263,0.0164
17365,0.0163
17376,0.0163
17459,0.0162
17478,0.0162
17553,0.0162
17655,0.0158
17757,0.0164
17859,0.0165
17878,0.0165
17945,0.0165
18047,0.0166
18149,0.0166
18251,0.016
18278,0.016
18337,0.0163
18439,0.0162
18541,0.0162
18643,0.0164
18678,0.0164
18729,0.0165
18831,0.0165
18933,0.016
19035,0.0164
19078,0.0164
19121,0.0162
19223,0.0155
19325,0.0163
19427,0.0164
19478,0.0164
19513,0.0164
19615,0.0163
19717,0.016
19819,0.0165
19878,0.0165
19903,0.0164
19999,0.0161
20004,0.0161
20106,0.016
20208,0.0159
20275,0.0159
20292,0.0159
20394,0.0164
20496,0.0158
20598,0.0163
20675,0.0163
20684,0.0163
20786,0.0166
20888,0.0166
20990,0.016
21075,0.0162
21104,0.0163
21206,0.0164
21308,0.0162
21401,0.0163
21422,0.0163
21524,0.0164
21626,0.0165
21728,0.0163
21801,0.0162
21814,0.0162
21916,0.0162
22018,0.0162
22120,0.0161
22201,0.0164
22206,0.0164
22308,0.0159
22410,0.0162
22512,0.0162
22601,0.0161
22700,0.0161
22802,0.0163
22904,0.0159
23001,0.0163
23092,0.0163
23194,0.0163
23296,0.0165
23398,0.0166
23401,0.0161
23484,0.0161
23586,0.0159
23688,0.0157
23790,0.0166
23801,0.0159
23876,0.0159
23978,0.0164
24080,0.0162
24182,0.0163
24201,0.016
24268,0.016
24370,0.0162
24472,0.0168
24574,0.0161
24601,0.0166
24659,0.0166
24761,0.016
24863,0.0157
24965,0.0159
24999,0.0162
25065,0.0162
25167,0.0164
25211,0.0157
25269,0.0157
25371,0.0164
25473,0.0161
25575,0.0162
25611,0.0165
25661,0.0165
25763,0.0163
25865,0.0161
25967,0.0161
26011,0.0158
26053,0.0158
26155,0.0168
26257,0.016
26359,0.0157
26411,0.0158
26445,0.0158
26547,0.0161
26649,0.0159
26751,0.0157
26811,0.0162
26837,0.0162
26939,0.0161
27041,0.0161
27143,0.0165
27211,0.0155
27229,0.0155
27331,0.0158
27433,0.0163
27535,0.0164
27611,0.0161
27621,0.0161
27723,0.0159
27825,0.0156
27927,0.0163
28011,0.0166
28013,0.0166
28115,0.0159
28217,0.0162
28319,0.0155
28411,0.016
28507,0.0162
28609,0.0155
28711,0.0159
28811,0.0161
28904,0.0165
28910,0.0165
28995,0.0165
29097,0.0158
29199,0.0156
29301,0.016
29310,0.016
29387,0.016
29489,0.0162
29591,0.0158
29693,0.0155
29710,0.0161
29777,0.0161
29879,0.0157
29981,0.0161
29999,0.0161
30082,0.0161
30107,0.016
30166,0.016
30268,0.0159
30370,0.0159
30472,0.0163
30507,0.0158
30558,0.0158
30660,0.0158
30762,0.0161
30864,0.0158
30907,0.016
30950,0.016
31052,0.0158
31154,0.0155
31256,0.0159
31307,0.0161
31342,0.0161
31444,0.0161
31546,0.0161
31648,0.0159
31707,0.0159
31734,0.0159
31836,0.0163
31938,0.0158
32040,0.0159
32107,0.0156
32126,0.0156
32228,0.0157
32330,0.016
32432,0.016
32507,0.0159
32529,0.0159
32612,0.0159
32626,0.0159
32728,0.0163
32830,0.0157
32932,0.0157
33012,0.0156
33018,0.0156
33120,0.016
33222,0.0155
33324,0.016
33412,0.016
33512,0.0159
33614,0.0158
33716,0.0158
33812,0.0161
33904,0.0159
34006,0.0162
34108,0.016
34210,0.0157
34212,0.0157
34296,0.0157
34398,0.0157
34500,0.0159
34602,0.0162
34612,0.0162
34687,0.0162
34789,0.0158
34891,0.0157
34993,0.0157
34999,0.0157
35010,0.0159
35077,0.0159
35179,0.0162
35281,0.0158
35383,0.0162
35410,0.0158
35469,0.0158
35571,0.0161
35673,0.0154
35775,0.0158
35810,0.0161
35861,0.0161
35963,0.0158
36065,0.0153
36167,0.0159
36210,0.0159
36247,0.0159
36349,0.0157
36400,0.0157
36429,0.0157
36531,0.0159
36633,0.0156
36735,0.0162
36800,0.0156
36821,0.0156
36923,0.0158
37025,0.0159
37127,0.0161
37200,0.0153
37213,0.0153
37315,0.0158
37417,0.0158
37519,0.016
37600,0.0157
37605,0.0157
37707,0.0159
37809,0.0158
37911,0.0158
38000,0.0158
38099,0.0158
38201,0.0159
38303,0.016
38400,0.0159
38491,0.0159
38593,0.0155
38695,0.0155
38797,0.0154
38800,0.0157
38883,0.0157
38985,0.0157
39087,0.0158
39189,0.0156
39200,0.0157
39275,0.0157
39377,0.0162
39479,0.016
39581,0.0159
39600,0.016
39666,0.016
39768,0.016
39870,0.0159
39972,0.0158
39999,0.0158
40006,0.0159
40108,0.0159
40210,0.0156
40312,0.0159
40348,0.0159
40449,0.0157
40551,0.016
40653,0.0154
40748,0.016
40841,0.0157
40943,0.016
41045,0.0158
41147,0.0161
41148,0.0161
41233,0.0157
41335,0.0156
41437,0.0158
41539,0.0159
41548,0.0159
41625,0.0158
41727,0.016
41829,0.0157
41931,0.0161
41948,0.0161
42017,0.0155
42119,0.0162
42221,0.0158
42323,0.0157
42348,0.0157
42409,0.016
42511,0.0159
42613,0.0159
42715,0.0158
42748,0.0158
42801,0.0155
42903,0.0159
43005,0.0156
43107,0.0154
43148,0.0154
43193,0.0154
43295,0.0157
43397,0.0157
43499,0.016
43548,0.0159
43585,0.0159
43687,0.0159
43789,0.0157
43891,0.0155
43948,0.016
43990,0.016
44055,0.0161
44089,0.0161
44191,0.0159
44293,0.0157
44395,0.0154
44455,0.0154
44481,0.0154
44583,0.0162
44685,0.0157
44787,0.0157
44855,0.0158
44872,0.0158
44974,0.0153
44999,0.0153
45075,0.0156
45177,0.0156
45253,0.0157
45262,0.0157
45364,0.0154
45466,0.0155
45568,0.0159
45653,0.0158
45654,0.0158
45756,0.0158
45858,0.0153
45960,0.0157
46053,0.0158
46148,0.0155
46250,0.0156
46352,0.0155
46453,0.0158
46540,0.0159
46642,0.0159
46744,0.0158
46846,0.0159
46853,0.0159
46932,0.0155
47034,0.0156
47136,0.0161
47238,0.0157
47253,0.0157
47324,0.0155
47426,0.0156
47528,0.0156
47630,0.0158
47653,0.0158
47712,0.0156
47743,0.0156
47794,0.0156
47896,0.0157
47998,0.0159
48100,0.0156
48143,0.0156
48186,0.0156
48288,0.0156
48390,0.0159
48492,0.0157
48543,0.0154
48578,0.0154
48680,0.0156
48782,0.0155
48884,0.0155
48943,0.0155
48970,0.0155
49072,0.0156
49174,0.0155
49276,0.0158
49343,0.0156
49362,0.0156
49464,0.0158
49566,0.0158
49668,0.0153
49743,0.0154
49752,0.0154
49854,0.0156
49956,0.0156
49999,0.0153
50057,0.0153
50140,0.0158
50141,0.0158
50243,0.0156
50345,0.0159
50447,0.0155
50540,0.0164
50635,0.0158
50737,0.016
50839,0.0159
50940,0.0158
51027,0.0153
51129,0.0154
51231,0.0153
51333,0.0154
51340,0.0154
51437,0.0158
51452,0.0158
51541,0.0158
51643,0.0154
51745,0.016
51847,0.0157
51852,0.0157
51933,0.0157
52035,0.0154
52137,0.016
52239,0.0153
52252,0.0153
52325,0.0156
52427,0.0156
52529,0.0154
52631,0.0152
52652,0.0152
52717,0.0158
52819,0.0157
52921,0.0157
53023,0.0153
53052,0.0153
53109,0.0157
53211,0.0155
53313,0.0156
53415,0.0154
53452,0.0154
53501,0.0157
53603,0.0157
53705,0.0155
53807,0.0158
53852,0.0158
53893,0.0158
53995,0.0155
54097,0.0153
54199,0.0159
54252,0.0156
54285,0.0156
54387,0.0156
54489,0.0156
54591,0.0156
54652,0.0155
54676,0.0155
54778,0.0154
54880,0.0159
54982,0.0158
54999,0.0158
55050,0.0157
55086,0.0157
55138,0.0155
55240,0.0153
55342,0.0155
55444,0.0158
